חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
279,4.80%,0.00%,36617,525,378,146,0,0,0,11309
280,4.80%,0.00%,36239,525,380,145,0,0,0,10791
281,4.80%,0.00%,35859,525,381,143,0,0,0,10271
282,4.80%,0.00%,35478,525,383,142,0,0,0,9749
283,4.80%,0.00%,35095,525,384,140,0,0,0,9224
284,4.80%,0.00%,34711,525,386,139,0,0,0,8698
285,4.80%,0.00%,34325,525,387,137,0,0,0,8170
286,4.80%,0.00%,33938,525,389,136,0,0,0,7640
287,4.80%,0.00%,33549,525,390,134,0,0,0,7108
288,4.80%,0.00%,33158,525,392,133,0,0,0,6573
289,4.80%,0.00%,32766,525,394,131,0,0,0,6037
290,4.80%,0.00%,32373,525,395,129,0,0,0,5499
291,4.80%,0.00%,31978,525,397,128,0,0,0,4958
292,4.80%,0.00%,31581,525,398,126,0,0,0,4416
293,4.80%,0.00%,31182,525,400,125,0,0,0,3871
294,4.80%,0.00%,30783,525,402,123,0,0,0,3324
295,4.80%,0.00%,30381,525,403,122,0,0,0,2776
296,4.80%,0.00%,29978,525,405,120,0,0,0,2225
297,4.80%,0.00%,29573,525,406,118,0,0,0,1672
298,4.80%,0.00%,29167,525,408,117,0,0,0,1117
299,4.80%,0.00%,28759,525,410,115,0,0,0,559
300,4.80%,0.00%,28349,525,411,113,0,0,0,0
301,4.80%,0.00%,27938,525,413,112,0,0,0,0
302,4.80%,0.00%,27525,525,415,110,0,0,0,nan
303,4.80%,0.00%,27110,525,416,108,0,0,0,nan
304,4.80%,0.00%,26694,525,418,107,0,0,0,nan
305,4.80%,0.00%,26276,525,420,105,0,0,0,nan
306,4.80%,0.00%,25857,525,421,103,0,0,0,nan
307,4.80%,0.00%,25435,525,423,102,0,0,0,nan
308,4.80%,0.00%,25013,525,425,100,0,0,0,nan
309,4.80%,0.00%,24588,525,426,98,0,0,0,nan
310,4.80%,0.00%,24162,525,428,97,0,0,0,nan
311,4.80%,0.00%,23734,525,430,95,0,0,0,nan
312,4.80%,0.00%,23304,525,431,93,0,0,0,nan
